{'loss': 0.6846, 'learning_rate': 2.521459227467811e-06, 'epoch': 2.88}                                                                                                                                         
{'loss': 0.6794, 'learning_rate': 2.2532188841201717e-06, 'epoch': 2.89}                                                                                                                                        
{'loss': 0.6943, 'learning_rate': 1.9849785407725323e-06, 'epoch': 2.91}                                                                                                                                        
{'loss': 0.6789, 'learning_rate': 1.7167381974248929e-06, 'epoch': 2.92}                                                                                                                                        
{'loss': 0.6793, 'learning_rate': 1.4484978540772532e-06, 'epoch': 2.93}                                                                                                                                        
{'loss': 0.6895, 'learning_rate': 1.1802575107296138e-06, 'epoch': 2.94}                                                                                                                                        
{'loss': 0.6922, 'learning_rate': 9.120171673819743e-07, 'epoch': 2.96}                                                                                                                                         
{'loss': 0.6873, 'learning_rate': 6.437768240343348e-07, 'epoch': 2.97}                                                                                                                                         
{'loss': 0.703, 'learning_rate': 3.755364806866953e-07, 'epoch': 2.98}                                                                                                                                          
{'loss': 0.7134, 'learning_rate': 1.072961373390558e-07, 'epoch': 2.99}                                                                                                                                         
{'eval_loss': 0.6916753053665161, 'eval_accuracy': 0.5736040609137056, 'eval_runtime': 25.9163, 'eval_samples_per_second': 7.601, 'eval_steps_per_second': 7.601, 'epoch': 3.0}                                 
{'train_runtime': 881.9898, 'train_samples_per_second': 2.68, 'train_steps_per_second': 2.68, 'train_loss': 0.8226569931317506, 'epoch': 3.0}                                                                   
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2364/2364 [14:41<00:00,  2.68it/s]
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 197/197 [00:19<00:00, 10.26it/s]
Accuracy: 0.5736040609137056
